Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
1993,1,6,00:00,UTC,51
1993,1,7,00:00,UTC,51
1993,1,8,00:00,UTC,51
1993,1,9,00:00,UTC,53
1993,1,10,00:00,UTC,62
1993,1,11,00:00,UTC,65
1993,1,12,00:00,UTC,75
1993,1,13,00:00,UTC,70
1993,1,14,00:00,UTC,71
1993,1,15,00:00,UTC,73
1993,1,16,00:00,UTC,73
1993,1,17,00:00,UTC,73
1993,1,18,00:00,UTC,77
1993,1,19,00:00,UTC,75
1993,1,20,00:00,UTC,75
1993,1,21,00:00,UTC,77
1993,1,22,00:00,UTC,81
1993,1,23,00:00,UTC,85
1993,1,24,00:00,UTC,85
1993,1,25,00:00,UTC,86
1993,1,26,00:00,UTC,87
1993,1,27,00:00,UTC,87
1993,1,28,00:00,UTC,89
1993,1,29,00:00,UTC,88
1993,1,30,00:00,UTC,88
1993,1,31,00:00,UTC,88
1993,2,1,00:00,UTC,88
1993,2,2,00:00,UTC,82
1993,2,3,00:00,UTC,82
1993,2,4,00:00,UTC,81
1993,2,5,00:00,UTC,81
1993,2,6,00:00,UTC,82
1993,2,7,00:00,UTC,82
1993,2,8,00:00,UTC,78
1993,2,9,00:00,UTC,75
1993,2,10,00:00,UTC,75
1993,2,11,00:00,UTC,75
1993,2,12,00:00,UTC,75
1993,2,13,00:00,UTC,75
1993,2,14,00:00,UTC,77
1993,2,15,00:00,UTC,76
1993,2,16,00:00,UTC,78
1993,2,17,00:00,UTC,78
1993,2,18,00:00,UTC,87
1993,2,19,00:00,UTC,86
1993,2,20,00:00,UTC,86
1993,2,21,00:00,UTC,86
1993,2,22,00:00,UTC,85
1993,2,23,00:00,UTC,85
1993,2,24,00:00,UTC,86
1993,2,25,00:00,UTC,87
1993,2,26,00:00,UTC,87
1993,2,27,00:00,UTC,87
1993,2,28,00:00,UTC,87
1993,3,1,00:00,UTC,86
1993,3,2,00:00,UTC,87
1993,3,3,00:00,UTC,87
1993,3,4,00:00,UTC,87
1993,3,5,00:00,UTC,88
1993,3,6,00:00,UTC,93
1993,3,7,00:00,UTC,94
1993,3,8,00:00,UTC,93
1993,3,9,00:00,UTC,92
1993,3,10,00:00,UTC,74
1993,3,11,00:00,UTC,52
1993,3,12,00:00,UTC,60
1993,3,13,00:00,UTC,63
1993,3,14,00:00,UTC,69
1993,3,15,00:00,UTC,68
1993,3,16,00:00,UTC,65
1993,3,17,00:00,UTC,74
1993,3,18,00:00,UTC,70
1993,3,19,00:00,UTC,73
1993,3,20,00:00,UTC,74
1993,3,21,00:00,UTC,74
1993,3,22,00:00,UTC,71
1993,3,23,00:00,UTC,71
1993,3,24,00:00,UTC,78
1993,3,25,00:00,UTC,77
1993,3,26,00:00,UTC,79
1993,3,27,00:00,UTC,78
1993,3,28,00:00,UTC,78
1993,3,29,00:00,UTC,77
1993,3,30,00:00,UTC,77
1993,3,31,00:00,UTC,78
1993,4,1,00:00,UTC,80
1993,4,2,00:00,UTC,80
1993,4,3,00:00,UTC,89
1993,4,4,00:00,UTC,89
1993,4,5,00:00,UTC,87
1993,4,6,00:00,UTC,88
1993,4,7,00:00,UTC,83
1993,4,8,00:00,UTC,83
1993,4,9,00:00,UTC,81
1993,4,10,00:00,UTC,81
1993,4,11,00:00,UTC,80
1993,4,12,00:00,UTC,80
1993,4,13,00:00,UTC,80
1993,4,14,00:00,UTC,80
1993,4,15,00:00,UTC,79
1993,4,16,00:00,UTC,79
1993,4,17,00:00,UTC,83
1993,4,18,00:00,UTC,91
1993,4,19,00:00,UTC,90
1993,4,20,00:00,UTC,84
1993,4,21,00:00,UTC,84
1993,4,22,00:00,UTC,87
1993,4,23,00:00,UTC,87
1993,4,24,00:00,UTC,80
1993,4,25,00:00,UTC,73
1993,4,26,00:00,UTC,65
1993,4,27,00:00,UTC,59
1993,4,28,00:00,UTC,56
